SMI,Natoms,atoms,coords(Ang),S1_SCSPBEQIDH(eV),T1_SCSPBEQIDH(eV),f01_SCSPBEQIDH(au),S1_ADC2(eV),T1_ADC2(eV),f01_ADC2(au)
'CCCN',13,"['C','C','C','N','H','H','H','H','H','H','H','H','H']","[[1.914571,-0.13346,0.023605],[0.541309,0.518551,-0.058164],[-0.592739,-0.490627,0.027092],[-1.886819,0.170484,-0.08904],[2.710281,0.609939,-0.039478],[2.059429,-0.845598,-0.792183],[2.040118,-0.676481,0.963335],[0.438996,1.077389,-0.99138],[0.432063,1.246441,0.753194],[-0.48023,-1.074426,0.953883],[-0.502033,-1.199186,-0.801425],[-2.029518,0.804579,0.686632],[-2.640221,-0.502834,-0.064488]]",6.829,6.501,0.010479509,6.636726,6.316754,0.011543
'CCCO',12,"['C','C','C','O','H','H','H','H','H','H','H','H']","[[1.886918,-0.127593,0.017333],[0.512612,0.525937,-0.044557],[-0.613544,-0.492877,0.025415],[-1.897557,0.086047,-0.084943],[2.681401,0.617783,-0.029746],[2.029772,-0.819221,-0.815921],[2.015117,-0.692888,0.943322],[0.40517,1.101119,-0.967424],[0.404437,1.235085,0.783738],[-0.526729,-1.078995,0.95096],[-0.532537,-1.19404,-0.80794],[-2.012097,0.709983,0.63341]]",7.619,7.266,0.003003751,7.295058,6.968547,0.005759
'CCCF',11,"['C','C','C','F','H','H','H','H','H','H','H']","[[1.459943,1.165662,0.0],[0.0,0.728969,0.0],[-0.127114,-0.776915,0.0],[-1.461784,-1.152304,0.0],[1.54036,2.252649,0.0],[1.98538,0.793752,-0.882412],[1.98538,0.793752,0.882412],[-0.514048,1.125159,-0.878721],[-0.514048,1.125159,0.878721],[0.338026,-1.213015,0.889094],[0.338026,-1.213015,-0.889094]]",10.012,9.597,0.011929308,9.779107,9.400414,0.009345
'NCCN',12,"['N','C','C','N','H','H','H','H','H','H','H','H']","[[-1.852975,0.181782,0.090655],[-0.572868,-0.491272,-0.090443],[0.572868,0.491272,0.090443],[1.852975,-0.181782,-0.090655],[-2.613821,-0.482687,0.075388],[-2.017449,0.836606,-0.663015],[-0.455057,-0.984767,-1.064085],[-0.492505,-1.2711,0.673268],[0.455057,0.984767,1.064085],[0.492505,1.2711,-0.673268],[2.017449,-0.836606,0.663015],[2.613821,0.482687,-0.075388]]",6.848,6.507,0.023230764,6.658465,6.327335,0.025568
'NCCO',11,"['N','C','C','O','H','H','H','H','H','H','H']","[[-1.822517,-0.179399,-0.102845],[-0.546486,0.500315,0.070916],[0.595391,-0.492994,-0.087082],[1.861205,0.098157,0.118126],[-2.584849,0.482056,-0.137863],[-2.003667,-0.802471,0.673188],[-0.431302,1.011445,1.036321],[-0.460407,1.263748,-0.708708],[0.523796,-0.973548,-1.069414],[0.506686,-1.27852,0.667253],[2.024294,0.723907,-0.588874]]",6.887,6.549,0.011631708,6.706222,6.376456,0.013001
'NCCF',10,"['N','C','C','F','H','H','H','H','H','H']","[[-1.79402,-0.207518,-0.063496],[-0.52998,0.509369,0.023203],[0.606968,-0.487117,-0.076846],[1.821102,0.16813,0.04519],[-2.55891,0.424326,-0.248497],[-2.001185,-0.687149,0.802003],[-0.404258,1.098876,0.940741],[-0.461553,1.201068,-0.818387],[0.585227,-1.000376,-1.039984],[0.546975,-1.2308,0.723742]]",6.926,6.580,0.012088594,6.752519,6.414710,0.013525
'OCCO',10,"['O','C','C','O','H','H','H','H','H','H']","[[1.774059,-0.238809,0.047223],[0.568423,0.489694,-0.045275],[-0.576206,-0.506626,0.004225],[-1.830999,0.13321,-0.083843],[2.511902,0.361251,-0.057675],[0.506228,1.058582,-0.980184],[0.469362,1.199573,0.788911],[-0.4903,-1.113734,0.912738],[-0.507884,-1.179591,-0.850782],[-1.987096,0.620305,0.726245]]",7.631,7.244,0.000198328,7.315789,6.958464,0.002362
'OCCF',9,"['O','C','C','F','H','H','H','H','H']","[[-1.358714,1.12451,0.0],[0.0,0.743577,0.0],[0.023318,-0.769658,0.0],[1.337218,-1.201902,0.0],[-1.415983,2.07955,0.0],[0.526089,1.111843,0.888469],[0.526089,1.111843,-0.888469],[-0.470675,-1.162859,-0.890932],[-0.470675,-1.162859,0.890932]]",7.666,7.271,0.000080512,7.367153,7.002653,0.001131
'FCCF',8,"['F','C','C','F','H','H','H','H']","[[0.718863,1.6201,0.0],[0.718863,0.23879,0.0],[-0.718863,-0.23879,0.0],[-0.718863,-1.6201,0.0],[1.243646,-0.110333,0.89166],[1.243646,-0.110333,-0.89166],[-1.243646,0.110333,-0.89166],[-1.243646,0.110333,0.89166]]",9.575,9.034,0.016725471,9.723275,9.284520,0.005518
'CCNC',13,"['C','C','N','C','H','H','H','H','H','H','H','H','H']","[[1.891084,-0.141801,-0.023187],[0.518141,0.500756,0.04493],[-0.532981,-0.485794,-0.119051],[-1.864432,0.071963,-0.001666],[2.676205,0.609629,0.07115],[2.021134,-0.666333,-0.970578],[2.024954,-0.864899,0.785661],[0.414737,1.234716,-0.760434],[0.417587,1.062146,0.990106],[-0.408743,-1.225513,0.559553],[-2.040956,0.768007,-0.825265],[-2.035675,0.620455,0.93872],[-2.607139,-0.723154,-0.076016]]",6.619,6.353,0.004537502,6.366062,6.107950,0.005198
