Index	Formation_Energy_eV	Atomization_Energy_eV	Bandgap_eV	Bandgap_nm	Smallest_Direct_Bandgap_eV	Smallest_Direct_Bandgap_nm	No_of_im_wave_nos_dimensionless	Lowest_wave_no_cm-1	Lowest_wave_no_THz	q*_A-1	I1/I3_dimensionless	I2/I3_dimensionless
410	1.014009	-4.051427684	2.41855112	512.6382755	2.41855112	512.6382755	3	-10.130212	-0.3036956516	0	0.15462	0.937618
411	1.083259	-4.257083735	4.59474274	269.8392371	4.63562669	267.4593876	2	-10.149997	-0.3042887901	0.5	0.066797	0.933203
412	0.235725	-4.252560414	4.258563	291.1409026	4.258563	291.1409026	3	-15.273352	-0.4578828743	0.19	0.151962	0.965869
413	0.380453	-3.985576187	4.25184443	291.6009501	4.25184443	291.6009501	1	-10.501034	-0.3148125985	0.5	0.258576	0.950986
414	0.329258	-4.036771964	4.6562835	266.2728495	4.6562835	266.2728495	1	-14.367038	-0.4307123056	0.5	0.240419	0.962137
415	0.384472	-4.245659333	4.05785426	305.5412531	4.12765971	300.3740527	1	-12.226463	-0.3665395796	0.5	0.26147	0.918446
416	0.58564	-4.457589186	4.51513487	274.5968639	4.59797064	269.6498026	2	-13.006268	-0.3899175096	0.16	0.210072	0.852332
417	0.471591	-4.038733845	4.10698681	301.8860135	4.10698681	301.8860135	1	-7.521071	-0.2254756917	0.5	0.290348	0.910789
418	0.40426	-4.106065027	4.35232175	284.869076	4.35232175	284.869076	1	-11.544758	-0.346102609	0.5	0.285893	0.972746
419	0.710758	-4.096680936	4.18118241	296.5290087	4.18118241	296.5290087	1	-1.289091	-0.03864591691	0.11	0.290364	0.947883
420	0.906503	-4.058817551	3.99680639	310.2081398	4.07374297	304.3495588	1	-2.113122	-0.06334970706	0.13	0.225303	0.954957
421	0.780451	-4.18486984	4.44470091	278.9483253	4.51287962	274.7340899	1	-2.583649	-0.0774557301	0.15	0.231067	0.957659
422	0.630062	-4.335259188	3.78294327	327.7452996	3.78294327	327.7452996	2	-9.466147	-0.2837875141	0.5	0.345087	0.705927
